HN01,Hospital General Hermosillo,CN01
HN02,Clínica Pediátrica Hermosillo,CN01
HN03,Hospital de Ortopedia Hermosillo,CN01
HN04,Hospital General Nogales,CN02
HN05,Clínica de Oftalmología Nogales,CN02
HN06,Hospital de Oncología Nogales,CN02
HN07,Hospital General Caborca,CN03
HN08,Clínica de Neurología Caborca,CN03
HN09,Hospital Infantil General Caborca,CN03
HN10,Hospital General Guaymas,CN04
HN11,Clínica de Traumatología Guaymas,CN04
HN12,Hospital de Gastroenterología Guaymas,CN04
HN13,Hospital General Navojoa,CN05
HN14,Clínica de Reumatología Navojoa,CN05
HN15,Hospital de Urología Navojoa,CN05
HN16,Hospital Central Chihuahua,CN06
HN17,Hospital Infantil Chihuahua,CN06
HN18,Hospital de Ortopedia Chihuahua,CN06
HN19,Hospital General Juárez,CN07
HN20,Clínica de Ginecología Juárez,CN07
HN21,Hospital de Oncología Juárez,CN07
HN22,Hospital General Delicias,CN08
HN23,Clínica de Neurología Delicias,CN08
HN24,Hospital Infantil General Delicias,CN08
HN25,Hospital General Cuauhtémoc,CN09
HN26,Clínica de Traumatología Cuauhtémoc,CN09
HN27,Hospital de Gastroenterología Cuauhtémoc,CN09
HN28,Hospital General Parral,CN10
HN29,Clínica de Reumatología Parral,CN10
HN30,Hospital de Urología Parral,CN10
HN31,Hospital General Saltillo,CN11
HN32,Hospital Infantil Saltillo,CN11
HN33,Hospital de Ortopedia Saltillo,CN11
HN34,Hospital General Torreón,CN12
HN35,Clínica de Ginecología Torreón,CN12
HN36,Hospital de Oncología Torreón,CN12
HN37,Hospital General Monclova,CN13
HN38,Clínica de Neurología Monclova,CN13
HN39,Hospital Infantil General Monclova,CN13
HN40,Hospital General Piedras Negras,CN14
HN41,Clínica de Traumatología Piedras Negras,CN14
HN42,Hospital de Gastroenterología Piedras Negras,CN14
HN43,Hospital General Acuña,CN15
HN44,Clínica de Reumatología Acuña,CN15
HN45,Hospital de Urología Acuña,CN15
HN46,Hospital Universitario Monterrey,CN16
HN47,Hospital Infantil Monterrey,CN16
HN48,Hospital de Ortopedia Monterrey,CN16
HN49,Hospital General San Nicolás,CN17
HN50,Clínica de Oftalmología San Nicolás,CN17
HN51,Hospital de Oncología San Nicolás,CN17
HN52,Hospital General Apodaca,CN18
HN53,Clínica de Neurología Apodaca,CN18
HN54,Hospital Infantil General Apodaca,CN18
HN55,Hospital General Guadalupe,CN19
HN56,Clínica de Ginecología Guadalupe,CN19
HN57,Hospital de Oncología Guadalupe,CN19
HN58,Hospital General Santa Catarina,CN20
HN59,Clínica de Reumatología Santa Catarina,CN20
HN60,Hospital de Urología Santa Catarina,CN20
